idiom,% Lit.,Literalness,% Fig.,Familiarity,Mean Frequency,,Literal_highest_key_%,Literal_highest_value_%,Literal_highest_key_ness,Literal_highest_value_ness
pulling teeth,100,3.1,83.3,3.5,51.5,,get off on the wrong  foot,84.2,snake in the grass,3.6
put his foot down,100,3.1,94.4,2.5,2099.7,,give a buzz,84.2,up the creek without a  paddle,3.6
put that in your pipe and  smoke it,78.9,3.4,100,2.8,8870.6,,go under,84.2,climb the walls,3.7
raise eyebrows,94.7,3.1,94.4,2.9,26,,hard nut to crack,84.2,cut his throat,3.7
reach for the sky,89.5,3.4,94.4,1.7,3522,,hold the line,84.2,dose of his own medicine,3.7
rob the cradle,84.2,3.6,94.4,1.8,1487,,in black and white,84.2,fall down on the job,3.7
rock the boat,100,3.1,94.4,3.1,1527.3,,in the doghouse,84.2,follow his nose,3.7
roll out the red carpet,84.2,3.7,100,3.1,1355.2,,kick in,84.2,hard nut to crack,3.7
roll up his sleeves,94.7,2.6,88.9,3.4,2231.7,,know enough to come  out of the rain,84.2,hold a candle to,3.7
rub the wrong way,84.2,3.4,94.4,2.5,1369.7,,lay his cards on the  table,84.2,hold his tongue,3.7
run circles around,84.2,3.5,95.2,2.8,257.7,,leave no stone unturned,84.2,lose his shirt,3.7
run into a brick wall,100,3.4,85.7,3.4,5083.6,,little frog in a big pond,84.2,roll out the red carpet,3.7
scrape the bottom of the  barrel,84.2,3.4,94.4,2.4,7566,,lose his head,84.2,sing a different tune,3.7
scratch his back,100,2.7,100,3.2,2657.7,,on the road,84.2,skeleton in the closet,3.7
scratch the surface,100,3.2,89.5,2.5,1548,,on the town,84.2,too big for his britches,3.7
see stars,94.4,2.2,94.7,3.2,386,,pound the pavement,84.2,across the board,3.8
see the color of his  money,84.2,3.9,77.8,3.4,8170.2,,rob the cradle,84.2,burn a hole in his pocket,3.8
see the light of day,88.9,2.8,100,2.8,8527.4,,roll out the red carpet,84.2,clip his wings,3.8
separate the men from the boys,88.9,3.2,100,1.8,2333.7,,rub the wrong way,84.2,hit the hay,3.8
shake a leg,84.2,3.5,100,1.9,7770.7,,run circles around,84.2,in a fog,3.8
shoe on the other foot,100,3.2,89.5,2.4,2592.6,,scrape the bottom of the  barrel,84.2,out on a limb,3.8
shot in the arm,84.2,3.1,100,3.5,6495.5,,see the color of his  money,84.2,pull the rug out from  under,3.8
sing a different tune,89.5,3.7,94.4,3.6,5898.2,,shake a leg,84.2,take root,3.8
sit on his hands,94.7,3.4,85.7,4,3451.5,,shot in the arm,84.2,tan his hide,3.8
skate on thin ice,89.5,3.2,100,2.8,1719.7,,skeleton in the closet,84.2,throw himself at her feet,3.8
skeleton in the closet,84.2,3.7,94.4,2.6,6448.5,,step into his shoes,84.2,under his belt,3.8
skin off his nose,77.8,4.1,94.7,3.2,1935.7,,take note of,84.2,blow his own horn,3.9
slip through his fingers,94.7,3.1,100,2.8,1996.2,,take root,84.2,bring to light,3.9
snake in the grass,88.9,3.6,94.7,2.9,6468.2,,water over the dam,84.2,bury his head in the  sand,3.9
spill the beans,94.4,3.5,100,2.2,1478.3,,water under the bridge,84.2,card up his sleeve,3.9
stab in the back,94.7,2.7,100,1.2,6686.5,,against the grain,83.3,catch him with his  pants down,3.9
stand on his own two feet,100,2.9,100,1.9,2725.7,,bury his head in the  sand,83.3,chicken feed,3.9
step into his shoes,84.2,4,100,3.4,2229.7,,clean slate,83.3,cut to the bone,3.9
step on his toes,89.5,2.8,94.4,3.1,3467.5,,climb the walls,83.3,down his alley,3.9
stir up a hornets nest,88.9,4.1,94.7,3.8,5031.8,,coast is clear,83.3,fall by the wayside,3.9
swelled head,83.3,3.4,89.5,2.8,213.5,,dose of his own medicine,83.3,get down off your  high horse,3.9
tail between his legs,77.8,4.3,94.7,2.5,1937.7,,feel in his bones,83.3,kick himself,3.9
take a back seat,94.4,3.1,84.2,2.7,6217.2,,get off the ground,83.3,let the cat out of the bag,3.9
take for a ride,100,2.8,84.2,3,8346.5,,give the shirt off  his back,83.3,lick his chops,3.9
take his breath away,88.9,3.5,100,2,2029.2,,one foot in the grave,83.3,over the hump,3.9
take his medicine,100,2.5,83.3,3.1,2546,,swelled head,83.3,see the color of his  money,3.9
take note of,84.2,2.7,94.4,3.1,12383,,bring to light,79,take with a grain of salt,3.9
take root,84.2,3.8,76.2,4.3,320.5,,look at the world with  rose colored glasses,79,under his thumb,3.9
take the cake,100,3.4,94.4,3.2,1686.3,,blow his own horn,78.9,water under the bridge,3.9
take with a grain of salt,77.8,3.9,100,3.1,11270.2,,carry a torch,78.9,ball of fire,4
tan his hide,89.5,3.8,80.5,2.8,2342.7,,cut to the bone,78.9,carry a torch,4
three ring circus,100,2.8,100,2.8,221.3,,face the music,78.9,chew the fat,4
throw coId water on,89.5,3.5,83.3,3.5,1849.2,,get away with murder,78.9,face the music,4
throw himself at her feet,89.5,3.8,100,3.2,1868.6,,get off the hook,78.9,step into his shoes,4
throw up his hands,100,3.3,83.3,3.6,2233.5,,hit the hay,78.9,add fuel to the flame,4.1
tie his hands,88.9,3.3,78.9,3.3,2340,,hit the road,78.9,eat out of one's hand,4.1
tie in knots,94.7,2.2,94.4,3.2,7121.3,,hopped up,78.9,feel in his bones,4.1
tighten his belt,88.9,2.9,78.9,3.5,2343,,kick himself,78.9,little frog in a big pond,4.1
tip the scales,89.5,3.3,81,3.2,1485.7,,over the hump,78.9,on cloud nine,4.1
too big for his britches,88.9,3.7,100,2.4,3535.6,,paint the town,78.9,pound the pavement,4.1
turn the tables,100,3,95.2,1.7,1556,,put that in your pipe and  smoke it,78.9,skin off his nose,4.1
twist his arm,100,3.4,100,2.9,2369.7,,cut down to size,77.8,stir up a hornets nest,4.1
under his belt,89.5,3.8,100,3.2,2577.7,,down the line,77.8,kick up his heels,4.2
under his thumb,89.5,3.9,83.3,3.5,2571.3,,get down off your  high horse,77.8,look at the world with  rose colored glasses,4.2
under the counter,94.7,2.8,88.9,3,1724.3,,get his goat,77.8,make his ears burn,4.2
under the sun,89.5,3.5,88.9,2.8,1751.3,,green thumb,77.8,wet behind the ears,4.2
up a tree,94.4,3.4,89.5,3.4,8397,,hold a candle to,77.8,bury the hatchet,4.3
up the creek,89.5,3.1,94.4,1.6,2114.7,,let the cat out of the bag,77.8,know which side his  bread is buttered on,4.3
up the creek without a  paddle,94.7,3.6,100,1.9,5027.3,,lick his chops,77.8,leave no stone unturned,4.3
water over the dam,84.2,4.3,85.7,3.3,1529.5,,make his ears burn,77.8,tail between his legs,4.3
water under the bridge,84.2,3.9,94.4,3.2,1420.5,,on cloud nine,77.8,water over the dam,4.3
way the wind blows,88.9,3.4,89.5,3,1351.7,,skin off his nose,77.8,green thumb,4.4
wear the pants,94.4,2.2,94.7,2.8,1493.3,,tail between his legs,77.8,get his goat,4.5
wet behind the ears,89.5,4.2,88.9,3.1,1186.5,,take with a grain of salt,77.8,one foot in the grave,4.5
